GO:0000015	phosphopyruvate hydratase complex	C	GO:0005829 	 cytosol	GO:1902494 	 catalytic complex						
GO:0000109	nucleotide-excision repair complex	C	GO:1990391 	 DNA repair complex	GO:0140513 	 nuclear protein-containing complex						
GO:0000110	nucleotide-excision repair factor 1 complex	C	GO:0000109 	 nucleotide-excision repair complex								
GO:0000111	nucleotide-excision repair factor 2 complex	C	GO:0000109 	 nucleotide-excision repair complex								
GO:0000112	nucleotide-excision repair factor 3 complex	C	GO:0000109 	 nucleotide-excision repair complex								
GO:0000113	nucleotide-excision repair factor 4 complex	C	GO:0000109 	 nucleotide-excision repair complex								
GO:0000118	histone deacetylase complex	C	GO:0005654 	 nucleoplasm	GO:1902494 	 catalytic complex	GO:0140513 	 nuclear protein-containing complex				
GO:0000120	RNA polymerase I transcription regulator complex	C	GO:0005667 	 transcription regulator complex	GO:0140513 	 nuclear protein-containing complex	GO:0005730 	 nucleolus				
GO:0000123	histone acetyltransferase complex	C	GO:0005654 	 nucleoplasm	GO:0031248 	 protein acetyltransferase complex	GO:0140513 	 nuclear protein-containing complex				
GO:0000124	SAGA complex	C	GO:0070461 	 SAGA-type complex	GO:1905368 	 peptidase complex						
GO:0000125	PCAF complex	C	GO:0070461 	 SAGA-type complex								
GO:0000126	transcription factor TFIIIB complex	C	GO:0090576 	 RNA polymerase III transcription regulator complex								
GO:0000127	transcription factor TFIIIC complex	C	GO:0090576 	 RNA polymerase III transcription regulator complex								
GO:0000131	incipient cellular bud site	C	GO:0140535 	 intracellular protein-containing complex								
GO:0000133	polarisome	C	GO:0005938 	 cell cortex	GO:0032991 	 protein-containing complex	GO:0030427 	 site of polarized growth				
GO:0000136	mannan polymerase complex	C	GO:0031501 	 mannosyltransferase complex	GO:0098796 	 membrane protein complex	GO:0030173 	 integral component of Golgi membrane	GO:0000137 	 Golgi cis cisterna		
GO:0000137	Golgi cis cisterna	C	GO:0031985 	 Golgi cisterna								
GO:0000138	Golgi trans cisterna	C	GO:0031985 	 Golgi cisterna								
GO:0000139	Golgi membrane	C	GO:0098791 	 Golgi apparatus subcompartment	GO:0098588 	 bounding membrane of organelle						
GO:0000142	cellular bud neck contractile ring	C	GO:0005935 	 cellular bud neck	GO:0110085 	 mitotic actomyosin contractile ring						
GO:0000144	cellular bud neck septin ring	C	GO:0000399 	 cellular bud neck septin structure	GO:0005940 	 septin ring	GO:0032161 	 cleavage apparatus septin structure				
GO:0000145	exocyst	C	GO:0005938 	 cell cortex	GO:0099023 	 vesicle tethering complex						
GO:0000148	"1,3-beta-D-glucan synthase complex"	C	GO:0098797 	 plasma membrane protein complex	GO:1990234 	 transferase complex						
GO:0000151	ubiquitin ligase complex	C	GO:0140535 	 intracellular protein-containing complex	GO:1990234 	 transferase complex						
GO:0000152	nuclear ubiquitin ligase complex	C	GO:0000151 	 ubiquitin ligase complex	GO:0140513 	 nuclear protein-containing complex						
GO:0000153	cytoplasmic ubiquitin ligase complex	C	GO:0000151 	 ubiquitin ligase complex	GO:0005737 	 cytoplasm						
GO:0000159	protein phosphatase type 2A complex	C	GO:0005963 	 magnesium-dependent protein serine/threonine phosphatase complex								
GO:0000164	protein phosphatase type 1 complex	C	GO:0008287 	 protein serine/threonine phosphatase complex	GO:0005737 	 cytoplasm						
GO:0000172	ribonuclease MRP complex	C	GO:0005732 	 sno(s)RNA-containing ribonucleoprotein complex	GO:1902494 	 catalytic complex						
GO:0000176	nuclear exosome (RNase complex)	C	GO:0031981 	 nuclear lumen	GO:0140513 	 nuclear protein-containing complex	GO:0000178 	 exosome (RNase complex)				
GO:0000177	cytoplasmic exosome (RNase complex)	C	GO:0005737 	 cytoplasm	GO:0000178 	 exosome (RNase complex)						
GO:0000178	exosome (RNase complex)	C	GO:1905354 	 exoribonuclease complex	GO:0005622 	 intracellular anatomical structure						
GO:0000214	tRNA-intron endonuclease complex	C	GO:1902555 	 endoribonuclease complex	GO:0140513 	 nuclear protein-containing complex						
GO:0000220	"vacuolar proton-transporting V-type ATPase, V0 domain"	C	GO:0005773 	 vacuole	GO:0033179 	" proton-transporting V-type ATPase, V0 domain"						
GO:0000221	"vacuolar proton-transporting V-type ATPase, V1 domain"	C	GO:0033180 	" proton-transporting V-type ATPase, V1 domain"	GO:0016471 	 vacuolar proton-transporting V-type ATPase complex						
GO:0000222	"plasma membrane proton-transporting V-type ATPase, V0 domain"	C	GO:0033181 	 plasma membrane proton-transporting V-type ATPase complex	GO:0098797 	 plasma membrane protein complex	GO:0005887 	 integral component of plasma membrane	GO:0033179 	" proton-transporting V-type ATPase, V0 domain"		
